task_name,window_index,ctx_used,horizon,radius,kept_mass_frac_ctxQ,dropped_mass_frac_ctxQ,kept_edges_frac_ctxQ,S_tokens,ctx_tokens,future_tokens,q_sel_ctx_queries,exclude_reg_query,probe_weight_sum
ETTh,0,8192,24,2,0.009686016508783604,0.9903139834912164,0.009686027366150003,515,513,2,513,False,7182.0
ETTh,0,8192,24,4,0.01740001927492186,0.9825999807250781,0.017400026495580916,515,513,2,513,False,7182.0
ETTh,0,8192,24,8,0.03273721397605207,0.9672627860239479,0.032737182762732076,515,513,2,513,False,7182.0
ETTh,0,8192,24,16,0.06304811076020529,0.9369518892397947,0.06304812733019172,515,513,2,513,False,7182.0
ETTh,0,8192,24,32,0.1222165004322693,0.8777834995677307,0.12221654459774031,515,513,2,513,False,7182.0
ETTh,0,8192,24,64,0.23473943756095297,0.765260562439047,0.23473949166335473,515,513,2,513,False,7182.0
ETTh,0,8192,24,128,0.43652982397554385,0.5634701760244561,0.43652983591665245,515,513,2,513,False,7182.0
ETTm,0,8192,24,2,0.009686016508783604,0.9903139834912164,0.009686027366150003,515,513,2,513,False,7182.0
ETTm,0,8192,24,4,0.01740001927492186,0.9825999807250781,0.017400026495580916,515,513,2,513,False,7182.0
ETTm,0,8192,24,8,0.03273721397605207,0.9672627860239479,0.032737182762732076,515,513,2,513,False,7182.0
ETTm,0,8192,24,16,0.06304811076020529,0.9369518892397947,0.06304812733019172,515,513,2,513,False,7182.0
ETTm,0,8192,24,32,0.1222165004322693,0.8777834995677307,0.12221654459774031,515,513,2,513,False,7182.0
ETTm,0,8192,24,64,0.23473943756095297,0.765260562439047,0.23473949166335473,515,513,2,513,False,7182.0
ETTm,0,8192,24,128,0.43652982397554385,0.5634701760244561,0.43652983591665245,515,513,2,513,False,7182.0
dominick,0,193,8,2,0.30476190476190507,0.695238095238095,0.30476190476190507,15,14,1,14,False,3584.0
dominick,0,193,8,4,0.5047619047619045,0.4952380952380955,0.5047619047619045,15,14,1,14,False,3584.0
dominick,0,193,8,8,0.7904761904761913,0.20952380952380867,0.7904761904761913,15,14,1,14,False,3584.0
dominick,0,193,8,16,0.9333333333333347,0.06666666666666532,0.9333333333333347,15,14,1,14,False,3584.0
dominick,0,193,8,32,0.9333333333333347,0.06666666666666532,0.9333333333333347,15,14,1,14,False,3584.0
dominick,0,193,8,64,0.9333333333333347,0.06666666666666532,0.9333333333333347,15,14,1,14,False,3584.0
dominick,0,193,8,128,0.9333333333333347,0.06666666666666532,0.9333333333333347,15,14,1,14,False,3584.0
ercot,0,8192,24,2,0.009686005177259876,0.9903139948227401,0.009686027366150003,515,513,2,513,False,4104.0
ercot,0,8192,24,4,0.01740001927492186,0.9825999807250781,0.017400026495580916,515,513,2,513,False,4104.0
ercot,0,8192,24,8,0.0327372253075758,0.9672627746924242,0.032737182762732076,515,513,2,513,False,4104.0
ercot,0,8192,24,16,0.06304811076020529,0.9369518892397947,0.06304812733019172,515,513,2,513,False,4104.0
ercot,0,8192,24,32,0.12221648910074558,0.8777835108992544,0.12221654459774031,515,513,2,513,False,4104.0
ercot,0,8192,24,64,0.23473943756095297,0.765260562439047,0.23473949166335473,515,513,2,513,False,4104.0
ercot,0,8192,24,128,0.43652982397554385,0.5634701760244561,0.43652983591665245,515,513,2,513,False,4104.0
exchange_rate,0,7558,30,2,0.010477645999584003,0.989522354000416,0.010477608765024998,476,474,2,474,False,3792.0
exchange_rate,0,7558,30,4,0.018818970357549616,0.9811810296424504,0.018818919973052513,476,474,2,474,False,3792.0
exchange_rate,0,7558,30,8,0.035395301088582805,0.9646046989114172,0.03539517072651845,476,474,2,474,False,3792.0
exchange_rate,0,7558,30,16,0.06812217533810923,0.9318778246618907,0.06812218558309399,476,474,2,474,False,3792.0
exchange_rate,0,7558,30,32,0.13187432080584566,0.8681256791941543,0.1318742686948197,476,474,2,474,False,3792.0
exchange_rate,0,7558,30,64,0.2525706537972095,0.7474293462027906,0.2525706485125696,476,474,2,474,False,3792.0
exchange_rate,0,7558,30,128,0.4667322609129228,0.5332677390870773,0.4667322625252633,476,474,2,474,False,3792.0
m4_quarterly,0,16,8,2,0.6666666666666664,0.3333333333333336,0.6666666666666664,3,2,1,2,False,512.0
m4_quarterly,0,16,8,4,0.6666666666666664,0.3333333333333336,0.6666666666666664,3,2,1,2,False,512.0
m4_quarterly,0,16,8,8,0.6666666666666664,0.3333333333333336,0.6666666666666664,3,2,1,2,False,512.0
m4_quarterly,0,16,8,16,0.6666666666666664,0.3333333333333336,0.6666666666666664,3,2,1,2,False,512.0
m4_quarterly,0,16,8,32,0.6666666666666664,0.3333333333333336,0.6666666666666664,3,2,1,2,False,512.0
m4_quarterly,0,16,8,64,0.6666666666666664,0.3333333333333336,0.6666666666666664,3,2,1,2,False,512.0
m4_quarterly,0,16,8,128,0.6666666666666664,0.3333333333333336,0.6666666666666664,3,2,1,2,False,512.0
m4_yearly,0,13,6,2,0.6666666666666664,0.3333333333333336,0.6666666666666664,3,2,1,2,False,512.0
m4_yearly,0,13,6,4,0.6666666666666664,0.3333333333333336,0.6666666666666664,3,2,1,2,False,512.0
m4_yearly,0,13,6,8,0.6666666666666664,0.3333333333333336,0.6666666666666664,3,2,1,2,False,512.0
m4_yearly,0,13,6,16,0.6666666666666664,0.3333333333333336,0.6666666666666664,3,2,1,2,False,512.0
m4_yearly,0,13,6,32,0.6666666666666664,0.3333333333333336,0.6666666666666664,3,2,1,2,False,512.0
m4_yearly,0,13,6,64,0.6666666666666664,0.3333333333333336,0.6666666666666664,3,2,1,2,False,512.0
m4_yearly,0,13,6,128,0.6666666666666664,0.3333333333333336,0.6666666666666664,3,2,1,2,False,512.0
m5,0,96,28,2,0.4603174603174609,0.5396825396825391,0.4603174603174609,9,7,2,7,False,1792.0
m5,0,96,28,4,0.6825396825396819,0.3174603174603181,0.6825396825396819,9,7,2,7,False,1792.0
m5,0,96,28,8,0.7777777777777788,0.2222222222222212,0.7777777777777788,9,7,2,7,False,1792.0
m5,0,96,28,16,0.7777777777777788,0.2222222222222212,0.7777777777777788,9,7,2,7,False,1792.0
m5,0,96,28,32,0.7777777777777788,0.2222222222222212,0.7777777777777788,9,7,2,7,False,1792.0
m5,0,96,28,64,0.7777777777777788,0.2222222222222212,0.7777777777777788,9,7,2,7,False,1792.0
m5,0,96,28,128,0.7777777777777788,0.2222222222222212,0.7777777777777788,9,7,2,7,False,1792.0
monash_australian_electricity,0,8192,48,2,0.009667226632657287,0.9903327733673427,0.009667255995285373,516,513,3,513,False,2565.0
monash_australian_electricity,0,8192,48,4,0.017366296287423897,0.9826337037125761,0.017366305514000334,516,513,3,513,False,2565.0
monash_australian_electricity,0,8192,48,8,0.03267369032923557,0.9673263096707644,0.03267373861009112,516,513,3,513,False,2565.0
monash_australian_electricity,0,8192,48,16,0.0629259098204624,0.9370740901795376,0.06292594103691615,516,513,3,513,False,2565.0
monash_australian_electricity,0,8192,48,32,0.12197963022572568,0.8780203697742743,0.12197969082914005,516,513,3,513,False,2565.0
monash_australian_electricity,0,8192,48,64,0.23428452988319404,0.765715470116806,0.2342845701678831,516,513,3,513,False,2565.0
monash_australian_electricity,0,8192,48,128,0.43568381556563723,0.5643161844343627,0.43568384786255043,516,513,3,513,False,2565.0
