model_name,dataset_path,dataset_config,horizon,num_windows,initial_cutoff,window_step_size,min_context_length,max_context_length,seasonality,eval_metric,extra_metrics,quantile_levels,id_column,timestamp_column,target,generate_univariate_targets_from,known_dynamic_columns,past_dynamic_columns,static_columns,task_name,test_error,training_time_s,inference_time_s,num_forecasts,dataset_fingerprint,trained_on_this_dataset,fev_version,MASE,WQL,ctx_used,inference_time_s_median,inference_time_s_mean,inference_time_s_std,perf_repeats,peak_alloc_mb_median,peak_alloc_mb_max,peak_reserved_mb_median,peak_reserved_mb_max
amazon/chronos-2__sparse_r128_c256,autogluon/chronos_datasets_extra,ETTh,24,1,-24,24,1,,24,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,__ALL__,[],[],[],ETTh,2.596295216247454,,,14,a06554384ee004c7,False,0.7.0,2.596295216247454,0.3511190648807391,8192,0.15059185028076172,0.15201120376586913,0.0033763384732149525,5,959.1728515625,959.1728515625,1082.0,1082.0
amazon/chronos-2__sparse_r128_c256,autogluon/chronos_datasets_extra,ETTm,24,1,-96,24,1,,96,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,__ALL__,[],[],[],ETTm,2.3650345099577055,,,14,eb7409291613303b,False,0.7.0,2.3650345099577055,0.32007686951228126,8192,0.17096209526062012,0.17498793601989746,0.008996842222650344,5,959.1728515625,959.1728515625,1082.0,1082.0
amazon/chronos-2__sparse_r128_c256,autogluon/chronos_datasets,dominick,8,1,-8,8,1,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],dominick,2.7498329360603084,,,100014,ab1a8018332665ab,False,0.7.0,2.7498329360603084,0.9968084786635328,193,54.19520545005798,54.21707549095154,0.17208644423287078,5,907.54931640625,907.54931640625,956.0,956.0
amazon/chronos-2__sparse_r128_c256,autogluon/chronos_datasets,ercot,24,1,-24,24,1,,24,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],ercot,6.234106866968439,,,8,95b91121d95f89c8,False,0.7.0,6.234106866968439,0.2577024978078448,8192,0.14017820358276367,0.14506454467773439,0.012051322484116694,5,842.75927734375,842.75927734375,898.0,898.0
amazon/chronos-2__sparse_r128_c256,autogluon/chronos_datasets,exchange_rate,30,1,-30,30,1,,5,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],exchange_rate,10.538475019364258,,,8,a8476b6fa723f5ed,False,0.7.0,10.538475019364258,0.13566420726750703,7558,0.10027885437011719,0.10137829780578614,0.0023779002818405683,5,836.62744140625,836.62744140625,908.0,908.0
amazon/chronos-2__sparse_r128_c256,autogluon/chronos_datasets,m4_quarterly,8,1,-8,8,1,,4,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],m4_quarterly,2.360705027992241,,,24000,97b166b18d38e710,False,0.7.0,2.360705027992241,0.15980323329928495,16,9.459766387939453,9.59332890510559,0.21910232856788375,5,738.55419921875,738.55419921875,784.0,784.0
amazon/chronos-2__sparse_r128_c256,autogluon/chronos_datasets,m4_yearly,6,1,-6,6,1,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],m4_yearly,8.355531662482765,,,23000,020f5777849c9c62,False,0.7.0,8.355531662482765,0.3170482542563553,13,8.961270332336426,9.035249710083008,0.13055753246046012,5,738.55126953125,738.55126953125,784.0,784.0
amazon/chronos-2__sparse_r128_c256,autogluon/chronos_datasets,m5,28,1,-28,28,1,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],m5,1.0972164695561792,,,30490,78a5b1db66dfb76c,False,0.7.0,1.0972164695561792,0.7838207639454992,96,19.27950954437256,19.400522899627685,0.23473263608179618,5,822.9580078125,822.9580078125,862.0,862.0
amazon/chronos-2__sparse_r128_c256,autogluon/chronos_datasets,monash_australian_electricity,48,1,-48,48,1,,48,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_australian_electricity,1.7416929328698543,,,5,c3fa76db06a6f37a,False,0.7.0,1.7416929328698543,0.12934955691131889,8192,0.1237952709197998,0.1285038948059082,0.00997237365288687,5,789.0263671875,789.0263671875,818.0,818.0
amazon/chronos-2__sparse_r128_c256,autogluon/chronos_datasets,monash_car_parts,12,1,-12,12,1,,12,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_car_parts,1.156480696088116,,,2674,1ba8c4719a51b23c,False,0.7.0,1.156480696088116,1.6143603133542428,39,1.0793988704681396,1.088862419128418,0.022503275096504707,5,766.03662109375,766.03662109375,800.0,800.0
amazon/chronos-2__sparse_r128_c256,autogluon/chronos_datasets,monash_cif_2016,12,1,-12,12,1,,12,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_cif_2016,1.5447219227326696,,,72,89203c02fafca301,False,0.7.0,1.5447219227326696,0.019225785318187263,16,0.09234142303466797,0.09414429664611816,0.003660146922716246,5,705.4052734375,705.4052734375,784.0,784.0
amazon/chronos-2__sparse_r128_c256,autogluon/chronos_datasets,monash_covid_deaths,30,1,-30,30,1,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_covid_deaths,152.21084320845304,,,266,6cdf94c2ac2fae09,False,0.7.0,152.21084320845304,0.6928145959284199,182,0.21823596954345703,0.2237001419067383,0.015880361825646554,5,907.953125,907.953125,958.0,958.0
amazon/chronos-2__sparse_r128_c256,autogluon/chronos_datasets,monash_fred_md,12,1,-12,12,1,,12,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_fred_md,15.241130753037861,,,107,a508fc699f3f3683,False,0.7.0,15.241130753037861,0.6339691033374464,716,0.13440799713134766,0.13550705909729005,0.00431620042133911,5,900.240234375,900.240234375,980.0,980.0
amazon/chronos-2__sparse_r128_c256,autogluon/chronos_datasets,monash_hospital,12,1,-12,12,1,,12,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_hospital,1.0055743179768333,,,767,e364316542f2f5c7,False,0.7.0,1.0055743179768333,0.111487454737684,72,0.3359873294830322,0.34242954254150393,0.016478513770114132,5,793.46630859375,793.46630859375,822.0,822.0
amazon/chronos-2__sparse_r128_c256,autogluon/chronos_datasets,monash_m1_monthly,18,1,-18,18,1,,12,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_m1_monthly,1.6531875363795216,,,617,88d42195e0f8e7cc,False,0.7.0,1.6531875363795216,0.23012609194133077,30,0.3153402805328369,0.32762894630432127,0.04199750324911159,5,766.4423828125,766.4423828125,800.0,800.0
amazon/chronos-2__sparse_r128_c256,autogluon/chronos_datasets,monash_m1_quarterly,8,1,-8,8,1,,4,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_m1_quarterly,2.4150496795929217,,,203,5dd7170c16393209,False,0.7.0,2.4150496795929217,0.15031704000594984,10,0.1269230842590332,0.12640771865844727,0.003387423666703296,5,725.4892578125,725.4892578125,784.0,784.0
amazon/chronos-2__sparse_r128_c256,autogluon/chronos_datasets,monash_m1_yearly,6,1,-6,6,1,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_m1_yearly,7.823549555750504,,,181,bd7efdf4c711a830,False,0.7.0,7.823549555750504,0.2992371253461191,9,0.11771965026855469,0.11941795349121094,0.004423241325141213,5,721.67431640625,721.67431640625,784.0,784.0
amazon/chronos-2__sparse_r128_c256,autogluon/chronos_datasets,monash_m3_monthly,18,1,-18,18,1,,12,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_m3_monthly,1.5246706205787444,,,1428,372532bc65a1f203,False,0.7.0,1.5246706205787444,0.18422308672586693,48,0.6363880634307861,0.6826113224029541,0.10785017873547967,5,778.83056640625,778.83056640625,816.0,816.0
amazon/chronos-2__sparse_r128_c256,autogluon/chronos_datasets,monash_m3_quarterly,8,1,-8,8,1,,4,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_m3_quarterly,2.2772958179064315,,,756,6401670c504aa82b,False,0.7.0,2.2772958179064315,0.14735470949561563,16,0.3339250087738037,0.334534740447998,0.01137458826853644,5,738.55419921875,738.55419921875,778.0,778.0
amazon/chronos-2__sparse_r128_c256,autogluon/chronos_datasets,monash_m3_yearly,6,1,-6,6,1,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_m3_yearly,6.657130544213753,,,645,d607d91b11bbe4a1,False,0.7.0,6.657130544213753,0.31967809175734063,14,0.30234861373901367,0.30617389678955076,0.010154304949551241,5,738.55224609375,738.55224609375,780.0,780.0
amazon/chronos-2__sparse_r128_c256,autogluon/chronos_datasets,monash_nn5_weekly,8,1,-8,8,1,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_nn5_weekly,1.205914016708387,,,111,480088d6b89d7100,False,0.7.0,1.205914016708387,0.14159170703312854,105,0.10280251502990723,0.10456814765930175,0.00415903147550921,5,738.59423828125,738.59423828125,776.0,776.0
amazon/chronos-2__sparse_r128_c256,autogluon/chronos_datasets,monash_tourism_monthly,24,1,-24,24,1,,12,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_tourism_monthly,3.368366662741606,,,366,3ce75ace84bef572,False,0.7.0,3.368366662741606,0.34472154602525645,67,0.20917272567749023,0.21185574531555176,0.0057165586779838835,5,805.77783203125,805.77783203125,848.0,848.0
amazon/chronos-2__sparse_r128_c256,autogluon/chronos_datasets,monash_tourism_quarterly,8,1,-8,8,1,,4,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_tourism_quarterly,3.770389231221489,,,427,f34c4184775eda7e,False,0.7.0,3.770389231221489,0.26075285700654804,22,0.21779847145080566,0.2183774948120117,0.005291239526545959,5,752.5869140625,752.5869140625,778.0,778.0
amazon/chronos-2__sparse_r128_c256,autogluon/chronos_datasets,monash_tourism_yearly,4,1,-4,4,1,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_tourism_yearly,4.027262186212375,,,518,7c477aee96f482c4,False,0.7.0,4.027262186212375,0.26691926623928935,7,0.2945587635040283,0.2961615562438965,0.009651314150622646,5,738.54541015625,738.54541015625,778.0,778.0
amazon/chronos-2__sparse_r128_c256,autogluon/chronos_datasets,monash_traffic,24,1,-24,24,1,,24,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_traffic,1.8780444693712006,,,862,a395745939b7b0f3,False,0.7.0,1.8780444693712006,0.6056913817423747,8192,11.369309663772583,11.363102054595947,0.048412435093490226,5,7740.95166015625,7740.95166015625,9092.0,9092.0
